week,miles,elevation,zone1,zone2,zone3,zone4,zone5
46,6.21,0.0,0.65,5.08e-02,0.11,0.15,0.34,0.00
48,21.02,0.0,2.63,0.12,0.42,1.54,0.55,0.00
49,38.78,0.0,5.40,0.50,2.42,1.20,1.28,0.00
50,21.74,0.0,2.49,0.17,0.30,1.57,0.45,0.00
51,7.78,0.0,1.04,5.58e-02,0.71,0.28,0.00,0.00
52,7.72,0.0,1.10,0.13,0.35,0.56,6.44e-02,0.00
1,10.37,0.0,1.84,0.31,0.28,0.55,0.69,3.33e-03
2,27.49,0.0,3.71,0.47,0.93,1.93,0.37,0.00
3,18.58,0.0,2.31,0.25,1.26,0.80,0.00,0.00
6,11.83,0.0,1.60,0.13,1.30,0.18,0.00,0.00
7,36.52,0.0,4.98,0.26,2.90,1.51,0.31,0.00
8,27.10,0.0,4.70,3.02,1.32,0.36,0.00,0.00
9,43.49,0.0,5.71,0.55,3.84,1.32,0.00,0.00
10,32.40,0.0,4.28,0.47,3.52,0.23,2.83e-02,2.72e-02
11,52.33,0.0,6.96,0.93,5.62,0.29,0.11,0.00
12,16.60,0.0,2.07,0.30,1.15,0.41,0.21,0.00
13,41.07,0.0,6.95,1.67,3.96,1.27,4.86e-02,0.00
14,42.07,0.0,7.53,2.62,4.38,0.53,2.78e-04,0.00
15,43.45,0.0,6.29,1.86,3.25,0.82,0.36,0.00
16,41.58,0.0,6.27,1.90,3.63,0.74,0.00,0.00
17,45.70,0.0,6.45,2.27,3.05,0.97,0.15,0.00
18,44.15,0.0,6.23,0.47,3.66,1.83,0.26,2.22e-03
